,value,metric,type
0,0.5862637218273389,fde,ml
1,0.45848861711799993,fde,ml
2,2.581023339758734,fde,ml
3,2.7158944517965913,fde,ml
4,0.058654629413767805,fde,ml
5,0.33246592965420024,fde,ml
6,1.035430257014147,fde,ml
7,1.4341715691233459,fde,ml
8,1.4859116559751555,fde,ml
9,0.26526974581025836,fde,ml
10,0.4261278633216179,fde,ml
11,1.8529351145638822,fde,ml
12,2.4463051728509697,fde,ml
13,0.550587925036112,fde,ml
14,0.74026974349764,fde,ml
15,0.6797565616533113,fde,ml
16,2.7535452761563564,fde,ml
17,1.556478058521043,fde,ml
18,1.64476981603541,fde,ml
19,1.4094141119201706,fde,ml
20,1.0930400549407158,fde,ml
21,2.992114977506398,fde,ml
22,0.8982011702945135,fde,ml
23,0.28704496049005623,fde,ml
24,2.209212184418621,fde,ml
25,1.464533848349972,fde,ml
26,0.38291263426364414,fde,ml
27,1.081138199887713,fde,ml
28,2.254464533486246,fde,ml
29,2.9180711980444656,fde,ml
30,1.6718648054507042,fde,ml
31,2.0511550177939433,fde,ml
32,1.5189494066039302,fde,ml
33,1.7364635807807598,fde,ml
34,1.4877774347858237,fde,ml
35,1.0184767849738037,fde,ml
36,2.531783030771927,fde,ml
37,0.334324154209092,fde,ml
38,0.772369909981326,fde,ml
39,2.0712726149964995,fde,ml
40,0.1574293737808215,fde,ml
41,2.6578602062692593,fde,ml
42,2.20875838172367,fde,ml
43,2.1879166835979746,fde,ml
44,2.972437546120982,fde,ml
45,0.5520745108689366,fde,ml
46,1.6410546839308606,fde,ml
47,0.6200297014027708,fde,ml
48,1.1068584099520626,fde,ml
49,2.0940788632170055,fde,ml
50,0.9608145028629839,fde,ml
51,1.3510081052173561,fde,ml
52,2.7606531372886858,fde,ml
53,0.5254574260159028,fde,ml
54,1.6139902781485673,fde,ml
55,1.7674085411163927,fde,ml
56,1.0965095394860676,fde,ml
57,1.9681317602936719,fde,ml
58,1.0860913464881943,fde,ml
59,1.0645765031636216,fde,ml
60,2.2185321418985655,fde,ml
61,0.6022328319346427,fde,ml
62,2.968487246221994,fde,ml
63,1.6367657098430153,fde,ml
64,1.257170465788358,fde,ml
65,1.586222789350537,fde,ml
66,0.23560446746643307,fde,ml
67,1.903861412231989,fde,ml
68,2.532934377106546,fde,ml
69,1.5014165251315488,fde,ml
70,0.9012351650474327,fde,ml
71,0.5651278882268602,fde,ml
72,5.519386780654068,fde,ml
73,4.246308868809919,fde,ml
74,0.8539389500397413,fde,ml
75,0.6831405546195242,fde,ml
76,0.812291791105721,fde,ml
77,3.6687092798103023,fde,ml
78,0.5276573063984994,fde,ml
79,0.5976748931481776,fde,ml
80,0.7197416857317976,fde,ml
81,2.1737504453011165,fde,ml
82,1.0616206665823522,fde,ml
83,0.4967481369330842,fde,ml
84,1.9614280997752573,fde,ml
85,2.4990956542189338,fde,ml
86,0.5442326500746196,fde,ml
87,0.2864968630340205,fde,ml
88,2.514336726838319,fde,ml
89,1.8911814408445353,fde,ml
90,1.575525293410435,fde,ml
91,0.9821363899900935,fde,ml
92,0.838684870764221,fde,ml
93,2.1608381233720575,fde,ml
94,1.3637560467494687,fde,ml
95,1.528904175415887,fde,ml
96,2.383306574727265,fde,ml
97,1.3882852340031488,fde,ml
98,1.6965589509981094,fde,ml
99,1.8665560330382736,fde,ml
100,1.417546913692462,fde,ml
101,1.3030578306560985,fde,ml
102,1.3469792982477804,fde,ml
103,2.5647594159235836,fde,ml
104,0.43617770986303206,fde,ml
105,1.8378488176920786,fde,ml
106,0.12062327744246354,fde,ml
107,1.9976666832175263,fde,ml
108,0.9770266663405458,fde,ml
109,2.877801840626203,fde,ml
110,1.0638669272077848,fde,ml
111,0.6792302287636423,fde,ml
112,0.14755624000843012,fde,ml
113,1.691397933733442,fde,ml
114,1.9245179549473,fde,ml
115,0.6841831294991151,fde,ml
116,3.598113310537457,fde,ml
117,1.0381443546909577,fde,ml
118,2.6413844615753463,fde,ml
119,1.0876068590018448,fde,ml
120,5.408062932747704,fde,ml
121,0.20445726146121457,fde,ml
122,1.1450681260431148,fde,ml
123,0.8480989424615397,fde,ml
124,3.773722846742926,fde,ml
125,0.591806752739011,fde,ml
126,0.38653819671131195,fde,ml
127,0.9678302550419323,fde,ml
128,1.3508279382851642,fde,ml
129,1.473636705850798,fde,ml
130,1.924829120094115,fde,ml
131,1.3221862781733624,fde,ml
132,2.0144629092586466,fde,ml
133,1.5035232831640177,fde,ml
134,1.2712138339046926,fde,ml
135,3.7145741093583435,fde,ml
136,2.725030143923947,fde,ml
137,1.6398336959416298,fde,ml
138,3.1497256869599273,fde,ml
139,2.498792886402984,fde,ml
140,1.3974020427790974,fde,ml
141,1.6012041144510576,fde,ml
142,0.39520409712878124,fde,ml
143,0.8288383484317882,fde,ml
144,2.0345981687235692,fde,ml
145,1.0520557254373075,fde,ml
146,1.1104579426419265,fde,ml
147,1.508039568540573,fde,ml
148,1.7199314118111446,fde,ml
149,1.5610614839381436,fde,ml
150,1.7927629866046237,fde,ml
151,2.0359882588590805,fde,ml
152,1.8655722076461543,fde,ml
153,2.852604060031402,fde,ml
154,2.3740832336268194,fde,ml
155,2.304286731508468,fde,ml
156,2.3460706092550363,fde,ml
157,2.953174398033712,fde,ml
158,2.8842492590885183,fde,ml
159,1.3399736360743646,fde,ml
160,0.9945759707080074,fde,ml
161,1.008885357702929,fde,ml
162,0.9927313184574654,fde,ml
163,1.6514269308895313,fde,ml
164,1.3557783270103765,fde,ml
165,3.316787939415299,fde,ml
166,0.3303293221637464,fde,ml
